iter	RMSE
0	0.7820833345
1	0.7612163823
2	0.73950005
3	0.7206845321
4	0.7031642811
5	0.6882900942
6	0.6741200813
7	0.6630111216
8	0.6507976633
9	0.6404127858
10	0.6290752013
11	0.6218546947
12	0.614357434
13	0.6059994378
14	0.5998445134
15	0.5948182067
16	0.588109986
17	0.5829676214
18	0.5766310257
19	0.5728265923
20	0.5677211963
21	0.5639610207
22	0.5599795127
23	0.5569270743
24	0.5524855655
25	0.5495240318
26	0.5467702109
27	0.5444357621
28	0.5413335448
29	0.5375070552
30	0.5344863746
31	0.5324805926
32	0.5294645019
33	0.5266000203
34	0.5233499267
35	0.5223897092
36	0.5198837605
37	0.5184835944
38	0.5153797322
39	0.5132511684
40	0.5111773662
41	0.510262973
42	0.5075681229
43	0.5055468662
44	0.5029350673
45	0.5012814693
46	0.5004023254
47	0.4978916068
48	0.4966289964
49	0.4955472376
50	0.4954225734
51	0.4944815099
52	0.492522567
53	0.4914261884
54	0.4893116022
55	0.48695446
56	0.4842785738
57	0.4834665152
58	0.4811875095
59	0.4806405116
60	0.4793513376
61	0.4778998141
62	0.4747098227
63	0.4741653342
64	0.4737639746
65	0.4719414554
66	0.4716011406
67	0.4705260988
68	0.4684656217
69	0.4666446471
70	0.4662413392
71	0.4656379245
72	0.4642406012
73	0.4631577131
74	0.4612557953
75	0.4584880455
76	0.4580529744
77	0.457631167
78	0.4566402353
79	0.4565191247
80	0.4562452015
81	0.4560585952
82	0.4528854331
83	0.4501495581
84	0.4499780932
85	0.4465772764
86	0.4464237197
87	0.4437381072
88	0.4405202115
89	0.4403597455
90	0.4402187982
91	0.4377014718
92	0.4360819509
93	0.4359599767
94	0.4358140673
95	0.4342273338
96	0.434065729
97	0.4310411582
98	0.4282475318
99	0.4261271325
