iter	Passed	Remaining
0	34	3445
1	60	2944
2	82	2676
3	105	2536
4	128	2442
5	152	2384
6	175	2325
7	199	2291
8	222	2246
9	246	2216
10	269	2182
11	292	2143
12	315	2113
13	339	2084
14	362	2056
15	384	2021
16	409	2000
17	435	1983
18	458	1952
19	482	1928
20	506	1904
21	529	1876
22	553	1853
23	577	1828
24	601	1803
25	626	1782
26	650	1759
27	677	1741
28	702	1721
29	729	1702
30	755	1681
31	781	1659
32	806	1636
33	831	1613
34	857	1592
35	881	1567
36	907	1545
37	933	1523
38	958	1498
39	982	1473
40	1007	1449
41	1032	1425
42	1033	1370
43	1059	1348
44	1084	1325
45	1109	1302
46	1133	1277
47	1158	1254
48	1180	1228
49	1203	1203
50	1226	1178
51	1252	1156
52	1275	1131
53	1309	1115
54	1333	1090
55	1355	1065
56	1379	1040
57	1403	1016
58	1427	992
59	1451	967
60	1475	943
61	1498	918
62	1522	894
63	1545	869
64	1569	845
65	1592	820
66	1614	795
67	1637	770
68	1641	737
69	1670	715
70	1695	692
71	1718	668
72	1743	644
73	1768	621
74	1793	597
75	1819	574
76	1843	550
77	1867	526
78	1892	503
79	1917	479
80	1942	455
81	1967	431
82	1980	405
83	2005	381
84	2030	358
85	2057	334
86	2080	310
87	2105	287
88	2129	263
89	2153	239
90	2166	214
91	2190	190
92	2215	166
93	2239	142
94	2263	119
95	2285	95
96	2308	71
97	2331	47
98	2353	23
99	2376	0
